Method,Domain of Origin,Primary Application Domains
Electronic Health Records,Health Informatics,"Healthcare Delivery, Clinical Documentation, Population Health, Quality Measurement"
Health Information Exchange,Health IT,"Care Coordination, Public Health, Emergency Care, Reducing Duplicate Tests"
Natural Language Processing in Healthcare,Medical Informatics,"Clinical Documentation, Medical Coding, Adverse Event Detection, Research"
Medical Coding Systems (ICD, CPT),Health Information Management,"Billing, Epidemiology, Healthcare Analytics, Quality Measurement"
Disease Classification Systems,Medical Nosology,"Epidemiology, Healthcare Administration, Research, Public Health Surveillance"
Clinical Pathways,Healthcare Management,"Quality Improvement, Cost Reduction, Standardized Care, Clinical Protocols"
Care Protocols,Evidence-Based Medicine,"Clinical Practice, Quality Improvement, Patient Safety, Standardization"
Clinical Practice Guidelines,Evidence-Based Medicine,"Standardized Care, Quality Improvement, Medical Education, Healthcare Policy"
Audit and Feedback,Quality Improvement,"Healthcare Quality, Medical Practice, Clinical Performance, Continuing Education"
Ethnography,Anthropology,"Sociology, Education, Market Research, User Experience"
Phenomenology,Philosophy,"Psychology, Nursing, Education, Sociology"
Grounded Theory,Sociology,"Nursing, Education, Psychology, Management"
Case Study Methodology,Social Sciences,"Business, Law, Medicine, Education, Political Science"
Action Research,Social Sciences,"Education, Organizational Development, Healthcare, Community Development"
Participatory Action Research,Social Sciences,"Community Development, Public Health, Education"
Narrative Inquiry,Literature,"Psychology, Education, Nursing, History"
Discourse Analysis,Linguistics,"Sociology, Psychology, Communication Studies, Political Science"
Conversation Analysis,Sociology,"Linguistics, Communication Studies, Psychology"
Thematic Analysis,Psychology,"Sociology, Education, Healthcare, Market Research"
Content Analysis,Communication Studies,"Sociology, Political Science, Marketing, Psychology"
Hermeneutics,Philosophy,"Theology, Law, Literature, History, Sociology"
Archival Research,History,"Sociology, Political Science, Law, Humanities"
Oral History,History,"Anthropology, Sociology, Cultural Studies"
Delphi Method,Forecasting,"Healthcare, Business, Public Policy, Education"
Focus Groups,Sociology,"Marketing, Political Science, Public Health, User Experience"
Participant Observation,Anthropology,"Sociology, Education, Urban Studies"
Netnography,Marketing,"Sociology, Cultural Studies, User Experience"
Q Methodology,Psychology,"Political Science, Healthcare, Marketing"
Mass Spectrometry (MS),Physics,"Chemistry, Biology, Medicine, Environmental Science"
Nuclear Magnetic Resonance (NMR),Physics,"Chemistry, Structural Biology, Medicine, Materials Science"
Infrared Spectroscopy (IR),Physics,"Chemistry, Materials Science, Art Conservation, Forensics"
Raman Spectroscopy,Physics,"Chemistry, Materials Science, Pharmaceutical Analysis, Art Conservation"
X-ray Crystallography,Physics,"Chemistry, Biology, Materials Science, Mineralogy"
Gas Chromatography (GC),Chemistry,"Environmental Science, Forensics, Petrochemicals, Food Safety"
High-Performance Liquid Chromatography (HPLC),Chemistry,"Pharmaceuticals, Biochemistry, Environmental Science, Food Safety"
Gel Electrophoresis,Biochemistry,"Genetics, Molecular Biology, Forensics, Medicine"
Polymerase Chain Reaction (PCR),Biochemistry,"Genetics, Medicine, Forensics, Evolutionary Biology"
Western Blotting,Biochemistry,"Molecular Biology, Immunology, Medicine, Genetics"
ELISA (Enzyme-Linked Immunosorbent Assay),Immunology,"Medicine, Diagnostics, Plant Pathology, Food Safety"
Flow Cytometry,Biophysics,"Immunology, Cancer Biology, Marine Biology, Medicine"
Immunohistochemistry (IHC),Pathology,"Cancer Diagnosis, Neuroscience, Developmental Biology"
Patch Clamp Technique,Biophysics,"Neuroscience, Pharmacology, Physiology"
Optogenetics,Neuroscience,"Behavioral Science, Physiology, Psychiatry"
Calcium Imaging,Neuroscience,"Physiology, Pharmacology, Developmental Biology"
Cryo-Electron Microscopy (Cryo-EM),Physics,"Structural Biology, Virology, Cell Biology"
Scanning Electron Microscopy (SEM),Physics,"Materials Science, Biology, Nanotechnology, Forensics"
Atomic Force Microscopy (AFM),Physics,"Nanotechnology, Materials Science, Biology, Chemistry"
Differential Scanning Calorimetry (DSC),Physics,"Materials Science, Chemistry, Pharmaceuticals, Food Science"
Titration,Chemistry,"Environmental Science, Medicine, Food Industry, Manufacturing"
Gravimetric Analysis,Chemistry,"Geology, Environmental Science, Metallurgy"
Mathematical Modeling,Mathematics,"Physics, Biology, Economics, Engineering, Epidemiology"
Axiomatic Method,Mathematics,"Logic, Philosophy, Theoretical Computer Science, Physics"
Thought Experiments,Philosophy,"Physics, Ethics, Law, Cognitive Science"
Usability Testing,Human-Computer Interaction,"Software Engineering, Product Design, Industrial Design"
Eye Tracking,Psychology,"Marketing, User Experience, Neuroscience, Reading Research"
Transcranial Magnetic Stimulation (TMS),Neuroscience,"Psychiatry, Cognitive Science, Rehabilitation"
Social Network Analysis (SNA),Sociology,"Anthropology, Biology, Communication Studies, Computer Science"
Bibliometrics,Library Science,"Scientometrics, Research Evaluation, Information Science"
Scientometrics,Information Science,"Science Policy, History of Science, Sociology of Science"
